s_id,a_id,x,y
1001,-3,1572.46,1639.47
1001,-6,-293.35,-413.09
1001,-15,2725.38,-3087.16
1001,-16,2496.6,-1580.58
1001,-47,-1551.5,-330.43
1001,-48,164.34,3038.62
1001,-50,1466.61,2795.88
1001,-61,-697.97,957.62
1001,-63,-2481.54,567.25
1001,-69,-172.71,-890.63
1001,-82,2446.29,-1471.27
1001,-91,1735.82,1148.85
1001,-100,-105.92,2163.6
1001,-101,1095.18,-1912.02
1001,-102,1260.82,2168.2
1001,-104,892.72,1868.68
1001,-106,1809.11,1514.13
1001,-109,-465.05,178.12
1001,-117,-2426.73,1080.41
1001,-127,317.31,3321.89
1001,-130,-3694.72,-2427.15
1001,-139,723.25,2024.92
1001,-143,847.04,-2210.89
1001,-149,565.17,-2139.44
1001,-150,2324.16,995.48
1001,-154,1926.92,2769.23
1001,-158,330.19,1516.88
1001,-159,-1066.13,-2611.25
1001,-163,1104.21,1515.7
1002,-5,-2464.97,492.37
1002,-13,-724.52,-4050.5
1002,-14,-1840.12,-106.8
1002,-28,-604.35,-1918.34
1002,-34,-2256.5,704.88
1002,-38,-3723.51,-1310.48
1002,-53,-195.65,-4056.34
1002,-58,-1007.38,-2561.11
1002,-66,321.41,-953.71
1002,-67,-3529.06,-1538.65
1002,-68,-2606.79,-1266.32
1002,-71,-1867.96,-2241.35
1002,-77,792.47,-2092.7
1002,-79,-764.34,-4116.68
1002,-88,-2222.27,-409.15
1002,-94,1147.02,-166.53
1002,-95,-666.66,83.56
1002,-96,-3340.75,-1507.07
1002,-99,-3944.11,-1329.58
1002,-119,-3875.09,-1361.43
1002,-121,-3277.65,-1202.66
1002,-124,-261.5,-4042.56
1002,-131,-3025.08,322.87
1002,-134,2075.78,-3633.02
1002,-144,-1399.22,-3185.76
1002,-145,-2904.07,-1960.61
1002,-151,-2367.83,-2296.85
1002,-155,-3818.62,-813.55
1002,-156,-926.71,-1343.25
1002,-161,-3701.56,-1739.83
1002,-165,-1013.02,-2416.12
1005,-15,1543.56,3296.18
1005,-38,2691.69,1475.45
1005,-55,2325.98,-681.33
1005,-67,2886.14,1247.29
1005,-68,3808.41,1519.61
1005,-96,3074.45,1278.86
1005,-99,2471.09,1456.36
1005,-101,-86.65,4471.32
1005,-113,1961.97,-1122.87
1005,-119,2540.1,1424.5
1005,-121,3137.54,1583.28
1005,-143,-334.78,4172.45
1005,-145,3511.12,825.33
1005,-149,-616.65,4243.9
1005,-151,4047.37,489.08
1005,-155,2596.57,1972.38
1005,-159,-2247.95,3772.09
1005,-161,2713.63,1046.1
1007,-8,3694.44,545.27
1007,-22,3202.59,192.02
1007,-31,440.38,2842.97
1007,-32,687.4,3262.27
1007,-35,3577.66,765.36
1007,-39,2478.57,1563.3
1007,-40,1655.11,35.46
1007,-41,2706.8,592.09
1007,-42,559.44,2912.61
1007,-44,4068.85,1773.74
1007,-51,2363.46,1054.62
1007,-52,-1106.55,4296.69
1007,-56,1589.5,2322.97
1007,-62,1284.26,2138.29
1007,-64,2333.41,906.43
1007,-72,1937.79,728.22
1007,-78,-911.72,-3938.16
1007,-81,1266.48,-911.25
1007,-83,2751.17,2311.17
1007,-84,915.52,2580.59
1007,-87,288.29,178.91
1007,-93,2407.17,1295.04
1007,-98,1714.2,1573.66
1007,-128,1152.18,1962.21
1007,-132,2557.16,1719.14
1007,-133,-243.58,3539.68
1007,-148,-183.91,564.15
1007,-153,-372.54,3911.61
1007,-157,1835.8,2332.66
1007,-162,3175.21,1059.08
1007,-164,1684.73,1432.06
1007,-166,2017.98,2480.29
1010,-5,2408.55,1143.08
1010,-14,3033.4,543.9
1010,-15,1.88,1160.95
1010,-16,-226.91,2667.53
1010,-28,4269.17,-1267.63
1010,-34,2617.01,1355.59
1010,-38,1150.01,-659.78
1010,-55,784.3,-2816.56
1010,-58,3866.14,-1910.41
1010,-67,1344.46,-887.94
1010,-68,2266.73,-615.62
1010,-69,-2896.21,3357.48
1010,-71,3005.56,-1590.64
1010,-82,-277.21,2776.84
1010,-88,2651.25,241.56
1010,-95,4206.86,734.26
1010,-96,1532.77,-856.37
1010,-99,929.41,-678.87
1010,-101,-1628.33,2336.09
1010,-113,420.29,-3258.1
1010,-119,998.42,-710.72
1010,-121,1595.86,-551.95
1010,-131,1848.44,973.57
1010,-143,-1876.46,2037.22
1010,-144,3474.29,-2535.06
1010,-145,1969.44,-1309.9
1010,-149,-2158.33,2108.68
1010,-151,2505.69,-1646.15
1010,-155,1054.9,-162.85
1010,-156,3946.81,-692.55
1010,-159,-3789.63,1636.87
1010,-161,1171.95,-1089.13
1010,-165,3860.5,-1765.41
1018,-19,-1963.49,3785.39
1018,-21,-2087.79,3542.01
1018,-22,3724.93,-2351.48
1018,-31,962.73,299.47
1018,-32,1209.75,718.78
1018,-35,4100,-1778.14
1018,-39,3000.92,-980.2
1018,-40,2177.46,-2508.04
1018,-41,3229.15,-1951.41
1018,-42,1081.79,369.11
1018,-51,2885.81,-1488.88
1018,-52,-584.2,1753.19
1018,-56,2111.85,-220.53
1018,-62,1806.61,-405.21
1018,-64,2855.76,-1637.07
1018,-72,2460.14,-1815.28
1018,-73,-1021.44,2246.39
1018,-75,-899.01,2425.28
1018,-81,1788.83,-3454.75
1018,-83,3273.51,-232.33
1018,-84,1437.87,37.09
1018,-85,-2279.49,3687.82
1018,-87,810.64,-2364.58
1018,-93,2929.52,-1248.46
1018,-98,2236.55,-969.84
1018,-111,-1253.94,2719.39
1018,-112,23.96,3881.94
1018,-128,1674.52,-581.29
1018,-132,3079.5,-824.36
1018,-133,278.77,996.18
1018,-148,338.44,-1979.34
1018,-153,149.81,1368.11
1018,-157,2358.15,-210.84
1018,-162,3697.56,-1484.42
1018,-164,2207.08,-1111.44
1018,-166,2540.33,-63.2
1020,-4,2209.28,-2278.71
1020,-5,-2556.29,3371.2
1020,-12,1011.54,-1681.51
1020,-13,-815.84,-1171.67
1020,-14,-1931.43,2772.03
1020,-17,1657.49,-1889.01
1020,-28,-695.66,960.49
1020,-30,891.6,-1873.93
1020,-34,-2347.82,3583.71
1020,-38,-3814.82,1568.35
1020,-43,1052.91,-1671.83
1020,-53,-286.97,-1177.5
1020,-55,-4180.53,-588.44
1020,-58,-1098.69,317.72
1020,-66,230.1,1925.13
1020,-67,-3620.37,1340.19
1020,-68,-2698.1,1612.51
1020,-70,1629.19,-2063.06
1020,-71,-1959.27,637.49
1020,-77,701.16,786.13
1020,-79,-855.66,-1237.84
1020,-88,-2313.58,2469.68
1020,-94,1055.7,2712.3
1020,-95,-757.97,2962.39
1020,-96,-3432.06,1371.76
1020,-97,-1832.17,-1918.59
1020,-99,-4035.42,1549.26
1020,-116,1340.81,-1807.13
1020,-119,-3966.41,1517.4
1020,-121,-3368.97,1676.18
1020,-124,-352.81,-1163.73
1020,-131,-3116.39,3201.7
1020,-134,1984.47,-754.19
1020,-141,1820.3,-1980.35
1020,-144,-1490.54,-306.93
1020,-145,-2995.39,918.23
1020,-151,-2459.14,581.98
1020,-155,-3909.94,2065.28
1020,-156,-1018.02,1535.58
1020,-161,-3792.88,1139
1020,-165,-1104.34,462.72
1020,-167,-2720.75,-3072.66
1022,-1,-3615.4,42.23
1022,-7,-1645.87,-1154.65
1022,-9,-1351.26,394.16
1022,-19,-1978.23,-3751.91
1022,-21,-2102.52,-3995.29
1022,-59,-462.99,-240.2
1022,-85,-2294.22,-3849.48
1022,-86,-2703.61,391.75
1022,-90,-3429.47,-1588.29
1022,-103,-2790.33,-1208.26
1022,-105,-4421.8,3.09
1022,-112,9.22,-3655.36
1022,-118,-4438.27,18.73
1022,-122,-1932.29,654.48
1022,-129,-2114.82,120.65
1022,-137,-3442.91,-2820.09
1022,-140,-3174.64,-2649.15
1022,-147,-3530.17,-1176.42
1023,-12,4134.14,1042.63
1023,-13,2306.76,1552.46
1023,-28,2426.94,3684.63
1023,-30,4014.2,850.21
1023,-38,-692.23,4292.48
1023,-43,4175.51,1052.31
1023,-53,2835.63,1546.63
1023,-55,-1057.93,2135.7
1023,-58,2023.9,3041.85
1023,-67,-497.78,4064.32
1023,-68,424.49,4336.64
1023,-71,1163.32,3361.62
1023,-79,2266.94,1486.29
1023,-96,-309.47,4095.89
1023,-97,1290.42,805.54
1023,-99,-912.83,4273.39
1023,-113,-1421.95,1694.16
1023,-119,-843.81,4241.54
1023,-121,-246.37,4400.31
1023,-124,2769.78,1560.41
1023,-144,1632.06,2417.2
1023,-145,127.21,3642.36
1023,-151,663.45,3306.12
1023,-161,-670.28,3863.13
1023,-165,2018.26,3186.85
1023,-167,401.84,-348.53
1032,-13,3582.55,130.75
1032,-28,3702.73,2262.91
1032,-38,583.57,2870.77
1032,-53,4111.43,124.92
1032,-55,217.87,713.98
1032,-58,3299.7,1620.14
1032,-67,778.02,2642.61
1032,-68,1700.29,2914.93
1032,-71,2439.12,1939.91
1032,-79,3542.74,64.58
1032,-88,2084.81,3772.1
1032,-96,966.33,2674.18
1032,-97,2566.22,-616.17
1032,-99,362.97,2851.68
1032,-113,-146.15,272.44
1032,-119,431.99,2819.82
1032,-121,1029.42,2978.6
1032,-124,4045.58,138.69
1032,-144,2907.85,995.49
1032,-145,1403.01,2220.65
1032,-151,1939.25,1884.4
1032,-155,488.46,3367.7
1032,-156,3380.37,2838
1032,-161,605.51,2441.42
1032,-165,3294.06,1765.14
1032,-167,1677.64,-1770.24
1036,-38,3236.75,2866.03
1036,-55,2871.05,709.24
1036,-67,3431.2,2637.86
1036,-96,3619.51,2669.44
1036,-99,3016.15,2846.93
1036,-113,2507.03,267.7
1036,-119,3085.17,2815.08
1036,-161,3258.69,2436.67
1037,-1,2697.13,-362.57
1037,-2,790.95,-615.24
1037,-10,857.43,-534.96
1037,-18,-625.64,1613.6
1037,-20,1113.55,-1150.13
1037,-24,-1326.5,-4263.12
1037,-25,-95.9,1126.65
1037,-26,77.81,640.37
1037,-27,-133.92,1298.92
1037,-29,344.28,836.85
1037,-33,1239.81,-89.72
1037,-36,1542.15,-1490.33
1037,-37,-1316.64,-4154.01
1037,-46,773.94,1111.89
1037,-49,269.21,1007.58
1037,-54,1185.5,1396.7
1037,-65,428.08,912.82
1037,-76,-2296.6,2872.96
1037,-86,3608.91,-13.05
1037,-90,2883.05,-1993.09
1037,-92,890.44,-545.11
1037,-103,3522.2,-1613.06
1037,-105,1890.72,-401.71
1037,-107,-2383.12,2178.64
1037,-108,39.78,1508.58
1037,-110,-2148.85,2563.06
1037,-118,1874.25,-386.07
1037,-120,-2039.67,2100.66
1037,-122,4380.23,249.68
1037,-123,-814.5,2517.39
1037,-129,4197.71,-284.15
1037,-136,287.86,2037.69
1037,-137,2869.61,-3224.89
1037,-140,3137.89,-3053.95
1037,-142,2231.05,-2566.82
1037,-147,2782.36,-1581.22
1037,-152,-2795.05,3203.2
1039,-8,1962.72,-3049.36
1039,-11,3294.01,-2146.7
1039,-22,1470.86,-3402.61
1039,-31,-1291.34,-751.66
1039,-32,-1044.32,-332.35
1039,-35,1845.93,-2829.27
1039,-39,746.85,-2031.32
1039,-40,-76.61,-3559.16
1039,-41,975.07,-3002.54
1039,-42,-1172.28,-682.01
1039,-44,2337.12,-1820.88
1039,-51,631.74,-2540
1039,-52,-2838.27,702.06
1039,-56,-142.22,-1271.66
1039,-60,2901.72,-1239.37
1039,-62,-447.46,-1456.34
1039,-64,601.69,-2688.2
1039,-72,206.07,-2866.41
1039,-73,-3275.52,1195.27
1039,-75,-3153.08,1374.16
1039,-81,-465.24,-4505.88
1039,-83,1019.44,-1283.45
1039,-84,-816.2,-1014.03
1039,-87,-1443.43,-3415.71
1039,-93,675.45,-2299.58
1039,-98,-17.52,-2020.96
1039,-111,-3508.01,1668.27
1039,-112,-2230.11,2830.81
1039,-128,-579.55,-1632.42
1039,-132,825.43,-1875.49
1039,-133,-1975.3,-54.95
1039,-148,-1915.63,-3030.47
1039,-153,-2104.26,316.99
1039,-157,104.08,-1261.97
1039,-162,1443.49,-2535.55
1039,-164,-46.99,-2162.57
1039,-166,286.26,-1114.33
1041,-7,-1399.4,2331.35
1041,-9,-1104.79,3880.16
1041,-19,-1731.76,-265.91
1041,-21,-1856.06,-509.29
1041,-31,1194.46,-3751.83
1041,-32,1441.48,-3332.52
1041,-42,1313.52,-3682.19
1041,-52,-352.47,-2298.11
1041,-59,-216.52,3245.81
1041,-73,-789.71,-1804.91
1041,-75,-667.28,-1626.02
1041,-84,1669.6,-4014.21
1041,-85,-2047.75,-363.48
1041,-89,-3593.95,-1274.69
1041,-90,-3183,1897.71
1041,-103,-2543.86,2277.74
1041,-111,-1022.21,-1331.91
1041,-112,255.69,-169.36
1041,-122,-1685.82,4140.48
1041,-125,-3479.87,-1412.51
1041,-129,-1868.35,3606.65
1041,-133,510.5,-3055.12
1041,-137,-3196.45,665.91
1041,-140,-2928.17,836.85
1041,-142,-3835.01,1323.98
1041,-147,-3283.7,2309.58
1041,-153,381.54,-2683.18
1045,-8,286.34,-1259.28
1045,-11,1617.63,-356.62
1045,-22,-205.52,-1612.53
1045,-31,-2967.72,1038.42
1045,-32,-2720.7,1457.73
1045,-35,169.55,-1039.19
1045,-39,-929.53,-241.25
1045,-40,-1752.99,-1769.09
1045,-41,-701.31,-1212.46
1045,-42,-2848.66,1108.06
1045,-44,660.74,-30.8
1045,-51,-1044.64,-749.92
1045,-56,-1818.6,518.42
1045,-60,1225.34,550.71
1045,-62,-2123.84,333.74
1045,-63,1931.75,-3450.5
1045,-64,-1074.69,-898.12
1045,-72,-1470.31,-1076.33
1045,-81,-2141.62,-2715.8
1045,-83,-656.94,506.62
1045,-84,-2492.58,776.04
1045,-87,-3119.81,-1625.63
1045,-93,-1000.93,-509.51
1045,-98,-1693.9,-230.88
1045,-117,1986.56,-2937.34
1045,-128,-2255.93,157.66
1045,-132,-850.95,-85.41
1045,-133,-3651.68,1735.13
1045,-148,-3592.01,-1240.39
1045,-153,-3780.64,2107.07
1045,-157,-1572.3,528.11
1045,-162,-232.89,-745.47
1045,-164,-1723.37,-372.49
1045,-166,-1390.12,675.75
1049,-1,3671.61,2432.78
1049,-2,1765.43,2180.11
1049,-10,1831.92,2260.39
1049,-18,348.84,4408.95
1049,-20,2088.03,1645.22
1049,-24,-352.02,-1467.77
1049,-25,878.58,3921.99
1049,-26,1052.3,3435.72
1049,-27,840.56,4094.27
1049,-29,1318.77,3632.2
1049,-33,2214.3,2705.63
1049,-36,2516.64,1305.02
1049,-37,-342.16,-1358.66
1049,-46,1748.43,3907.24
1049,-49,1243.69,3802.93
1049,-65,1402.56,3708.17
1049,-89,3446.59,-2370.15
1049,-90,3857.54,802.26
1049,-92,1864.93,2250.24
1049,-105,2865.2,2393.64
1049,-108,1014.27,4303.93
1049,-118,2848.74,2409.28
1049,-125,3560.67,-2507.96
1049,-137,3844.09,-429.54
1049,-140,4112.37,-258.6
1049,-142,3205.53,228.53
1049,-147,3756.84,1214.13
